Ticker,Downloaded Rows,Missing Values,Status
ADANIENT.NS,747,0,SUCCESS
ADANIPORTS.NS,747,0,SUCCESS
APOLLOHOSP.NS,747,0,SUCCESS
ASIANPAINT.NS,747,0,SUCCESS
AXISBANK.NS,747,0,SUCCESS
BAJAJ-AUTO.NS,747,0,SUCCESS
BAJFINANCE.NS,747,0,SUCCESS
BAJAJFINSV.NS,747,0,SUCCESS
BEL.NS,747,0,SUCCESS
BHARTIARTL.NS,747,0,SUCCESS
BRITANNIA.NS,747,0,SUCCESS
CIPLA.NS,747,0,SUCCESS
COALINDIA.NS,747,0,SUCCESS
DIVISLAB.NS,747,0,SUCCESS
DRREDDY.NS,747,0,SUCCESS
EICHERMOT.NS,747,0,SUCCESS
GRASIM.NS,747,0,SUCCESS
HCLTECH.NS,747,0,SUCCESS
HDFCBANK.NS,747,0,SUCCESS
HDFCLIFE.NS,747,0,SUCCESS
HEROMOTOCO.NS,747,0,SUCCESS
HINDALCO.NS,747,0,SUCCESS
HINDUNILVR.NS,747,0,SUCCESS
ICICIBANK.NS,747,0,SUCCESS
INDUSINDBK.NS,747,0,SUCCESS
INFY.NS,747,0,SUCCESS
ITC.NS,747,0,SUCCESS
JSWSTEEL.NS,747,0,SUCCESS
KOTAKBANK.NS,747,0,SUCCESS
LT.NS,747,0,SUCCESS
LTM.NS,747,0,SUCCESS
M&M.NS,747,0,SUCCESS
MARUTI.NS,747,0,SUCCESS
NESTLEIND.NS,747,0,SUCCESS
NTPC.NS,747,0,SUCCESS
ONGC.NS,747,0,SUCCESS
POWERGRID.NS,747,0,SUCCESS
RELIANCE.NS,747,0,SUCCESS
SBILIFE.NS,747,0,SUCCESS
SBIN.NS,747,0,SUCCESS
SUNPHARMA.NS,747,0,SUCCESS
TATACONSUM.NS,747,0,SUCCESS
TMCV.NS,0,0,FAILED (DownloadError: Failed to download data for ticker 'TMCV.NS' after 3 attempts. Last Error: yfinance returned an empty DataFrame (invalid ticker or missing data).)
TATASTEEL.NS,747,0,SUCCESS
TCS.NS,747,0,SUCCESS
TECHM.NS,747,0,SUCCESS
TITAN.NS,747,0,SUCCESS
TRENT.NS,747,0,SUCCESS
ULTRACEMCO.NS,747,0,SUCCESS
WIPRO.NS,747,0,SUCCESS
